time,Ohms,I,Tvti,Tsample,angle,Hdigit,Hanalog
4569.943386,-1.5e-05,0.0001,108.451,133.996,0,1.4998,1.5253
4572.361524,-0.00151,0.0001,108.457,133.951,0,1.4998,1.5253
4574.74366,-0.000605,0.0001,108.461,133.921,0,1.4998,1.5254
4577.073794,0.0009,0.0001,108.463,133.866,0,1.4998,1.5253
4579.413928,-0.00056,0.0001,108.469,133.836,0,1.4998,1.5253
4581.73406,-0.000885,0.0001,108.481,133.788,0,1.4998,1.5253
4584.053193,-0.00066,0.0001,108.495,133.749,0,1.4998,1.5252
4586.379326,-0.00015,0.0001,108.522,133.717,0,1.4998,1.5253
4588.696459,-0.00054,0.0001,108.529,133.663,0,1.4998,1.5253
4591.017591,0.00069,0.0001,108.551,133.62,0,1.4998,1.5254
4593.356725,0.00068,0.0001,108.544,133.591,0,1.4998,1.5253
4595.674858,-0.000605,0.0001,108.59,133.535,0,1.4998,1.5253
4598.062994,-0.00117,0.0001,108.607,133.497,0,1.4998,1.5253
4600.383127,-0.000275,0.0001,108.634,133.451,0,1.4998,1.5253
4602.771264,0.0009,0.0001,108.663,133.424,0,1.4998,1.5254
4605.356411,-0.00171,0.0001,108.666,133.372,0,1.4998,1.5254
4607.696545,-0.000185,0.0001,108.699,133.348,0,1.4998,1.5253
4610.015678,0.00113,0.0001,108.744,133.291,0,1.4998,1.5253
4612.434816,0.000435,0.0001,108.753,133.254,0,1.4998,1.5254
4614.792951,0.001545,0.0001,108.802,133.217,0,1.4998,1.5254
4617.113084,-0.00044,0.0001,108.819,133.171,0,1.4998,1.5253
4619.455218,0.00059,0.0001,108.852,133.139,0,1.4998,1.5253
4621.94536,-0.000835,0.0001,108.891,133.083,0,1.4998,1.5253
4624.306495,-0.000515,0.0001,108.939,133.051,0,1.4998,1.5253
4626.626628,0.00034,0.0001,108.964,133.017,0,1.4998,1.5254
4628.965762,-0.000165,0.0001,109,132.974,0,1.4998,1.5253
4631.452904,-0.00043,0.0001,109.032,132.938,0,1.4998,1.5253
4633.818039,0.00031,0.0001,109.066,132.9,0,1.4998,1.5253
4636.137172,0.00052,0.0001,109.126,132.845,0,1.4998,1.5253
4638.525309,-0.000755,0.0001,109.166,132.82,0,1.4998,1.5253
4640.843441,-0.00036,0.0001,109.197,132.77,0,1.4998,1.5253
4643.229578,-0.0016,0.0001,109.229,132.746,0,1.4998,1.5253
4645.617714,6.5e-05,0.0001,109.282,132.683,0,1.4998,1.5253
4647.936847,-0.000585,0.0001,109.303,132.667,0,1.4998,1.5253
4650.323983,0.000135,0.0001,109.375,132.617,0,1.4998,1.5253
4652.642116,0.00067,0.0001,109.419,132.586,0,1.4998,1.5254
4655.030253,-0.000155,0.0001,109.463,132.55,0,1.4998,1.5254
4657.349385,0.000615,0.0001,109.518,132.504,0,1.4998,1.5255
4659.668518,-0.000505,0.0001,109.544,132.466,0,1.4998,1.5253
4662.15666,-9.5e-05,0.0001,109.599,132.44,0,1.4998,1.5254
4664.518795,0.001395,0.0001,109.616,132.405,0,1.4998,1.5253
4666.838928,3.5e-05,0.0001,109.686,132.364,0,1.4998,1.5253
4669.231065,0.00045,0.0001,109.737,132.329,0,1.4998,1.5254
4671.551198,0.0004,0.0001,109.794,132.283,0,1.4998,1.5254
4673.86933,-0.0015,0.0001,109.845,132.254,0,1.4998,1.5253
4676.187463,2e-05,0.0001,109.898,132.21,0,1.4998,1.5253
4678.575599,0.001285,0.0001,109.926,132.177,0,1.4998,1.5254
4680.963736,-0.0018,0.0001,109.986,132.136,0,1.4998,1.5253
4683.284869,0.000255,0.0001,110.029,132.098,0,1.4998,1.5253
4685.772011,0.000515,0.0001,110.084,132.079,0,1.4998,1.5253
4688.130146,-0.00229,0.0001,110.128,132.028,0,1.4998,1.5253
4690.452279,0.00016,0.0001,110.187,132.004,0,1.4998,1.5253
4692.771411,-0.000775,0.0001,110.237,131.967,0,1.4998,1.5253
4695.100544,0.00165,0.0001,110.292,131.927,0,1.4998,1.5253
4697.421677,-0.000495,0.0001,110.348,131.894,0,1.4998,1.5254
4699.810814,-0.001255,0.0001,110.404,131.864,0,1.4998,1.5254
4702.19895,0.000945,0.0001,110.444,131.833,0,1.4998,1.5254
4704.519083,-0.00026,0.0001,110.509,131.787,0,1.4998,1.5254
4706.838216,-0.00014,0.0001,110.55,131.77,0,1.4998,1.5254
4709.271355,-0.00036,0.0001,110.608,131.723,0,1.4998,1.5254
4711.622489,0.000115,0.0001,110.67,131.7,0,1.4998,1.5254
4713.939622,0.000175,0.0001,110.733,131.659,0,1.4998,1.5253
4716.258755,-9e-05,0.0001,110.759,131.631,0,1.4998,1.5254
4718.646891,-0.00029,0.0001,110.824,131.593,0,1.4998,1.5252
4720.966024,-0.00152,0.0001,110.879,131.566,0,1.4998,1.5253
4723.282156,0.001585,0.0001,110.924,131.535,0,1.4998,1.5253
4725.61229,0.000175,0.0001,110.978,131.493,0,1.4998,1.5254
4727.952423,9.5e-05,0.0001,111.016,131.465,0,1.4998,1.5253
4730.278557,0.000495,0.0001,111.095,131.435,0,1.4998,1.5253
4732.697695,-0.001465,0.0001,111.121,131.403,0,1.4998,1.5253
4735.162836,-0.002135,0.0001,111.185,131.374,0,1.4998,1.5254
4737.620977,0.00037,0.0001,111.253,131.331,0,1.4998,1.5253
4739.979111,0.000355,0.0001,111.294,131.304,0,1.4998,1.5254
4742.299244,-0.000485,0.0001,111.322,131.272,0,1.4998,1.5254
4744.617377,-0.001315,0.0001,111.41,131.239,0,1.4998,1.5253
4746.939509,-0.00054,0.0001,111.432,131.213,0,1.4998,1.5253
4749.326646,0.00112,0.0001,111.499,131.18,0,1.4998,1.5254
4751.643779,0.000535,0.0001,111.53,131.16,0,1.4998,1.5253
4753.985913,0.00068,0.0001,111.587,131.132,0,1.4998,1.5254
4756.306045,-1e-05,0.0001,111.636,131.091,0,1.4998,1.5254
4758.625178,-0.00204,0.0001,111.698,131.065,0,1.4998,1.5254
4761.056317,0.000395,0.0001,111.768,131.033,0,1.4998,1.5253
4763.424452,-0.000745,0.0001,111.789,131.008,0,1.4998,1.5254
4765.767586,0.00027,0.0001,111.85,130.99,0,1.4998,1.5253
4768.088719,0.00203,0.0001,111.9,130.956,0,1.4998,1.5253
4770.408852,0.00059,0.0001,111.953,130.923,0,1.4998,1.5253
4772.733985,1.5881867761e-19,0.0001,111.982,130.902,0,1.4998,1.5253
4775.060118,-0.000435,0.0001,112.035,130.869,0,1.4998,1.5253
4777.37825,-0.000375,0.0001,112.08,130.846,0,1.4998,1.5253
4779.798389,6.5e-05,0.0001,112.133,130.812,0,1.4998,1.5253
4782.159524,0.000625,0.0001,112.189,130.787,0,1.4998,1.5253
4784.548661,-0.00023,0.0001,112.245,130.77,0,1.4998,1.5253
4786.937797,0.001025,0.0001,112.296,130.732,0,1.4998,1.5253
4789.42694,0.00053,0.0001,112.343,130.706,0,1.4998,1.5253
4791.785075,-0.000325,0.0001,112.385,130.678,0,1.4998,1.5253
4794.113208,0.001165,0.0001,112.463,130.653,0,1.4998,1.5253
4796.437341,0.000135,0.0001,112.479,130.627,0,1.4998,1.5252
4798.757473,-0.001165,0.0001,112.53,130.599,0,1.4998,1.5253
4801.175612,0.000805,0.0001,112.58,130.566,0,1.4998,1.5253
4803.635752,-0.00141,0.0001,112.628,130.547,0,1.4998,1.5253
4805.998887,0.000535,0.0001,112.67,130.527,0,1.4998,1.5253
4808.386024,-0.000685,0.0001,112.723,130.504,0,1.4998,1.5253
4810.708157,0.000275,0.0001,112.762,130.478,0,1.4998,1.5254
4813.095293,-0.000155,0.0001,112.822,130.455,0,1.4998,1.5254
4815.48343,-0.00016,0.0001,112.859,130.431,0,1.4998,1.5254
4817.872567,0.00106,0.0001,112.926,130.396,0,1.4998,1.5253
4820.361709,6.5e-05,0.0001,112.935,130.38,0,1.4998,1.5254
4822.723844,-0.00066,0.0001,112.999,130.364,0,1.4998,1.5254
4825.042977,-0.00151,0.0001,113.053,130.339,0,1.4998,1.5254
4827.465115,-0.000425,0.0001,113.112,130.308,0,1.4998,1.5253
4829.829251,0.00051,0.0001,113.145,130.296,0,1.4998,1.5253
4832.150383,-0.000635,0.0001,113.201,130.262,0,1.4998,1.5254
4834.474516,-0.00078,0.0001,113.252,130.246,0,1.4998,1.5253
4836.866653,0.00038,0.0001,113.296,130.221,0,1.4998,1.5253
4839.287792,-0.000345,0.0001,113.34,130.198,0,1.4998,1.5253
4841.645926,-0.000115,0.0001,113.381,130.183,0,1.4998,1.5253
4844.036063,9e-05,0.0001,113.438,130.156,0,1.4998,1.5253
4846.357196,0.000615,0.0001,113.469,130.134,0,1.4998,1.5253
4848.778334,0.001755,0.0001,113.511,130.125,0,1.4998,1.5253
4851.14147,-0.000205,0.0001,113.575,130.107,0,1.4998,1.5253
4853.513605,0.000305,0.0001,113.621,130.07,0,1.4998,1.5253
4855.857739,0.00189,0.0001,113.644,130.06,0,1.4998,1.5253
4858.176872,-0.001435,0.0001,113.713,130.038,0,1.4998,1.5253
4860.521006,-0.000815,0.0001,113.743,130.019,0,1.4998,1.5253
4862.86514,-3e-05,0.0001,113.799,129.994,0,1.4998,1.5253
4865.187273,-0.000975,0.0001,113.836,129.977,0,1.4998,1.5253
4867.58041,-0.001025,0.0001,113.872,129.966,0,1.4998,1.5253
4869.910543,0.00021,0.0001,113.941,129.936,0,1.4998,1.5253
4872.30268,-0.00046,0.0001,113.965,129.927,0,1.4998,1.5253
4874.625813,-0.000535,0.0001,114.019,129.909,0,1.4998,1.5253
4876.955946,-0.00052,0.0001,114.05,129.88,0,1.4998,1.5253
4879.276079,-0.000325,0.0001,114.103,129.867,0,1.4998,1.5253
4881.597211,0.00028,0.0001,114.138,129.853,0,1.4998,1.5253
4883.940345,-0.00101,0.0001,114.183,129.836,0,1.4998,1.5253
4886.262478,-0.00035,0.0001,114.222,129.819,0,1.4998,1.5253
4888.696618,-0.0005,0.0001,114.283,129.799,0,1.4998,1.5253
4891.056753,0.002245,0.0001,114.326,129.778,0,1.4998,1.5253
4893.391886,-0.001125,0.0001,114.354,129.765,0,1.4998,1.5253
4895.72502,-0.0003,0.0001,114.412,129.744,0,1.4998,1.5253
4898.045152,0.00118,0.0001,114.452,129.73,0,1.4998,1.5253
4900.389286,-0.0008,0.0001,114.491,129.716,0,1.4998,1.5253
4902.736421,-0.001105,0.0001,114.538,129.699,0,1.4998,1.5253
4905.17956,0.00119,0.0001,114.588,129.683,0,1.4998,1.5253
4907.638701,-0.000165,0.0001,114.621,129.673,0,1.4998,1.5253
4910.002836,0.00047,0.0001,114.659,129.65,0,1.4998,1.5253
4912.324969,-3.5e-05,0.0001,114.719,129.635,0,1.4998,1.5253
4914.650102,-0.00076,0.0001,114.748,129.623,0,1.4998,1.5253
4917.042239,0.00075,0.0001,114.793,129.619,0,1.4998,1.5253
4919.434376,0.00046,0.0001,114.831,129.602,0,1.4998,1.5253
4921.759509,-0.00016,0.0001,114.872,129.586,0,1.4998,1.5253
4924.193648,-0.000555,0.0001,114.951,129.575,0,1.4998,1.5253
4926.554783,-0.000205,0.0001,114.966,129.557,0,1.4998,1.5253
4928.877916,-0.00018,0.0001,114.992,129.539,0,1.4998,1.5253
4931.201049,0.00077,0.0001,115.051,129.527,0,1.4998,1.5254
4933.523181,-0.000235,0.0001,115.097,129.523,0,1.4998,1.5253
4935.857315,0.00068,0.0001,115.11,129.501,0,1.4998,1.5253
4938.21545,-0.00086,0.0001,115.172,129.503,0,1.4998,1.5253
4940.576585,0.000895,0.0001,115.211,129.476,0,1.4998,1.5253
4942.918719,-0.00057,0.0001,115.258,129.466,0,1.4998,1.5253
4945.263853,0.00133,0.0001,115.295,129.447,0,1.4998,1.5253
4947.595986,0.00088,0.0001,115.353,129.443,0,1.4998,1.5253
4949.919119,1e-05,0.0001,115.383,129.43,0,1.4998,1.5252
4952.312256,-0.000415,0.0001,115.422,129.416,0,1.4998,1.5253
4954.634389,-9e-05,0.0001,115.469,129.403,0,1.4998,1.5253
4956.956522,-0.001205,0.0001,115.516,129.399,0,1.4998,1.5252
4959.288655,-0.00051,0.0001,115.544,129.385,0,1.4998,1.5252
4961.634789,0.000265,0.0001,115.581,129.375,0,1.4998,1.5253
4963.958922,-0.000585,0.0001,115.62,129.365,0,1.4998,1.5252
4966.351059,-0.00163,0.0001,115.674,129.349,0,1.4998,1.5252
4968.803199,7.5e-05,0.0001,115.739,129.345,0,1.4998,1.5252
4971.167335,0.00122,0.0001,115.761,129.326,0,1.4998,1.5252
4973.589473,-6.5e-05,0.0001,115.812,129.315,0,1.4998,1.5252
