time,Ohms,I,Tvti,Tsample,angle,Hdigit,Hanalog
9627.424657,-0.00131666666667,0.0001,108.192,133.96,0,3.9999,4.0353
9629.891798,0.000358333333333,0.0001,108.198,133.911,0,3.9999,4.0354
9632.348939,0.00110416666667,0.0001,108.215,133.863,0,3.9999,4.0353
9634.81408,0.000633333333333,0.0001,108.23,133.816,0,3.9999,4.0353
9637.27222,-0.000183333333333,0.0001,108.249,133.782,0,3.9999,4.0354
9639.735361,-0.00176666666667,0.0001,108.26,133.744,0,3.9999,4.0353
9642.195502,0.000279166666667,0.0001,108.289,133.695,0,3.9999,4.0353
9644.659643,-0.00107916666667,0.0001,108.327,133.638,0,3.9999,4.0354
9647.118784,-0.00115416666667,0.0001,108.327,133.6,0,3.9999,4.0353
9649.584925,0.00160833333333,0.0001,108.359,133.559,0,3.9999,4.0353
9652.044065,0.000533333333333,0.0001,108.38,133.509,0,3.9999,4.0353
9654.514207,-0.000575,0.0001,108.4,133.467,0,3.9999,4.0353
9656.973347,0.000920833333333,0.0001,108.445,133.43,0,3.9999,4.0353
9659.535494,-0.00187083333333,0.0001,108.484,133.365,0,3.9999,4.0354
9661.970633,0.000258333333333,0.0001,108.48,133.334,0,3.9999,4.0354
9664.441774,-0.000370833333333,0.0001,108.542,133.289,0,3.9999,4.0354
9667.022922,-0.00265833333333,0.0001,108.557,133.244,0,3.9999,4.0354
9669.562067,0.000270833333333,0.0001,108.615,133.201,0,3.9999,4.0353
9672.106213,0.00145833333333,0.0001,108.653,133.151,0,3.9999,4.0353
9674.548353,-0.000408333333333,0.0001,108.679,133.116,0,3.9999,4.0353
9677.014494,-0.000783333333333,0.0001,108.733,133.066,0,3.9999,4.0354
9679.480635,0.000720833333333,0.0001,108.77,133.024,0,3.9999,4.0353
9681.948776,-0.000308333333333,0.0001,108.801,132.987,0,3.9999,4.0353
9684.406916,-0.00113333333333,0.0001,108.837,132.939,0,3.9999,4.0354
9686.872057,0.00178333333333,0.0001,108.901,132.899,0,3.9999,4.0354
9689.333198,-0.00104166666667,0.0001,108.925,132.865,0,3.9999,4.0354
9691.794339,-0.00164166666667,0.0001,108.976,132.821,0,3.9999,4.0354
9694.25648,0.00035,0.0001,109.025,132.777,0,3.9999,4.0354
9696.71362,-8.33333333333e-06,0.0001,109.083,132.722,0,3.9999,4.0354
9699.174761,0.00135833333333,0.0001,109.122,132.694,0,3.9999,4.0354
9701.635902,0.000658333333333,0.0001,109.165,132.654,0,3.9999,4.0354
9704.097043,-0.000425,0.0001,109.209,132.612,0,3.9999,4.0353
9706.556183,0.000208333333333,0.0001,109.276,132.575,0,3.9999,4.0353
9709.12533,-0.0011375,0.0001,109.323,132.517,0,3.9999,4.0354
9711.623473,-0.0008625,0.0001,109.372,132.485,0,3.9999,4.0354
9714.19162,-0.000133333333333,0.0001,109.407,132.449,0,3.9999,4.0353
9716.691763,-0.000308333333333,0.0001,109.462,132.409,0,3.9999,4.0354
9719.25991,-3.75e-05,0.0001,109.52,132.357,0,3.9999,4.0354
9721.755053,0.000116666666667,0.0001,109.59,132.328,0,3.9999,4.0354
9724.319199,-0.00209583333333,0.0001,109.625,132.284,0,3.9999,4.0354
9726.852344,-0.00125833333333,0.0001,109.699,132.242,0,3.9999,4.0354
9729.39849,-0.0005,0.0001,109.73,132.22,0,3.9999,4.0353
9731.940635,-8.75e-05,0.0001,109.791,132.172,0,3.9999,4.0353
9734.439778,-0.0008375,0.0001,109.863,132.127,0,3.9999,4.0354
9737.014925,-0.001,0.0001,109.885,132.091,0,3.9999,4.0354
9739.519069,-0.00095,0.0001,109.944,132.054,0,3.9999,4.0354
9741.99721,0.00045,0.0001,110.016,132.005,0,3.9999,4.0354
9744.463351,-0.000525,0.0001,110.07,131.963,0,3.9999,4.0354
9746.929492,0.000570833333333,0.0001,110.138,131.938,0,3.9999,4.0354
9749.396634,-0.000391666666667,0.0001,110.158,131.9,0,3.9999,4.0354
9751.862775,0.000495833333333,0.0001,110.242,131.863,0,3.9999,4.0354
9754.332916,-0.000533333333333,0.0001,110.316,131.813,0,3.9999,4.0354
9756.806057,0.000429166666667,0.0001,110.357,131.799,0,3.9999,4.0354
9759.283199,-0.000995833333333,0.0001,110.416,131.75,0,3.9999,4.0354
9761.847346,-0.00112083333333,0.0001,110.49,131.716,0,3.9999,4.0353
9764.345489,-0.000658333333333,0.0001,110.528,131.678,0,3.9999,4.0354
9766.81163,-1.66666666667e-05,0.0001,110.565,131.648,0,3.9999,4.0354
9769.27277,0.002325,0.0001,110.646,131.616,0,3.9999,4.0354
9771.729911,0.00167083333333,0.0001,110.675,131.587,0,3.9999,4.0354
9774.190052,0.00160833333333,0.0001,110.762,131.534,0,3.9999,4.0354
9776.652193,-0.000641666666667,0.0001,110.797,131.502,0,3.9999,4.0353
9779.110333,0.00180416666667,0.0001,110.878,131.466,0,3.9999,4.0354
9781.571474,0.000216666666667,0.0001,110.919,131.438,0,3.9999,4.0354
9784.035615,0.000341666666667,0.0001,110.984,131.405,0,3.9999,4.0354
9786.499756,-0.000883333333333,0.0001,111.036,131.374,0,3.9999,4.0354
9788.960897,-0.000858333333333,0.0001,111.09,131.334,0,3.9999,4.0354
9791.423037,-0.0009,0.0001,111.159,131.3,0,3.9999,4.0354
9793.884178,0.000483333333333,0.0001,111.176,131.272,0,3.9999,4.0354
9796.347319,0.000154166666667,0.0001,111.255,131.235,0,3.9999,4.0354
9798.80746,6.25e-05,0.0001,111.308,131.205,0,3.9999,4.0354
9801.2666,-3.33333333333e-05,0.0001,111.362,131.177,0,3.9999,4.0354
9803.724741,0.000245833333333,0.0001,111.406,131.137,0,3.9999,4.0354
9806.186882,-0.000191666666667,0.0001,111.471,131.111,0,3.9999,4.0354
9808.648023,0.00075,0.0001,111.526,131.075,0,3.9999,4.0353
9811.106163,8.75e-05,0.0001,111.566,131.057,0,3.9999,4.0354
9813.557303,6.66666666667e-05,0.0001,111.639,131.016,0,3.9999,4.0354
9816.12245,0.000104166666667,0.0001,111.69,130.984,0,3.9999,4.0353
9818.624593,-0.00127083333333,0.0001,111.729,130.956,0,3.9999,4.0354
9821.074733,-0.000745833333333,0.0001,111.787,130.93,0,3.9999,4.0354
9823.533874,0.000233333333333,0.0001,111.844,130.896,0,3.9999,4.0354
9825.989014,0.000341666666667,0.0001,111.905,130.865,0,3.9999,4.0355
9828.452155,3.75e-05,0.0001,111.955,130.836,0,3.9999,4.0354
9830.911296,0.000891666666667,0.0001,112.016,130.808,0,3.9999,4.0354
9833.371437,-0.000545833333333,0.0001,112.056,130.774,0,3.9999,4.0354
9835.830577,0.000154166666667,0.0001,112.107,130.761,0,3.9999,4.0354
9838.287718,0.000125,0.0001,112.158,130.719,0,3.9999,4.0354
9840.743858,-0.000683333333333,0.0001,112.209,130.7,0,3.9999,4.0354
9843.204999,-0.0006125,0.0001,112.236,130.674,0,3.9999,4.0354
9845.66414,-0.00187916666667,0.0001,112.314,130.639,0,3.9999,4.0354
9848.12028,0.000491666666667,0.0001,112.365,130.614,0,3.9999,4.0354
9850.578421,0.000820833333333,0.0001,112.405,130.589,0,3.9999,4.0353
9853.146568,-0.0009875,0.0001,112.467,130.563,0,3.9999,4.0354
9855.643711,0.00142916666667,0.0001,112.514,130.532,0,3.9999,4.0354
9858.208857,-0.0010875,0.0001,112.587,130.498,0,3.9999,4.0354
9860.706,-0.0013625,0.0001,112.622,130.482,0,3.9999,4.0354
9863.265146,-0.000958333333333,0.0001,112.681,130.452,0,3.9999,4.0354
9865.76829,0.0004625,0.0001,112.703,130.431,0,3.9999,4.0354
9868.22943,-0.0006125,0.0001,112.761,130.407,0,3.9999,4.0354
9870.688571,-0.000904166666667,0.0001,112.804,130.385,0,3.9999,4.0354
9873.153712,-8.33333333333e-05,0.0001,112.873,130.351,0,3.9999,4.0354
9875.608853,0.000741666666667,0.0001,112.924,130.328,0,3.9999,4.0354
9878.067993,0.0005625,0.0001,112.967,130.307,0,3.9999,4.0354
9880.523134,-0.0011375,0.0001,113.015,130.277,0,3.9999,4.0354
9882.982274,-0.0006625,0.0001,113.065,130.252,0,3.9999,4.0354
9885.440415,-0.00141666666667,0.0001,113.114,130.232,0,3.9999,4.0354
9887.902556,-0.000729166666667,0.0001,113.17,130.204,0,3.9999,4.0354
9890.364697,-0.000954166666667,0.0001,113.224,130.187,0,3.9999,4.0354
9892.814837,0.00178333333333,0.0001,113.264,130.158,0,3.9999,4.0354
9895.273977,-0.00184583333333,0.0001,113.307,130.136,0,3.9999,4.0354
9897.730118,-0.000554166666667,0.0001,113.346,130.127,0,3.9999,4.0354
9900.289264,-0.0010375,0.0001,113.398,130.1,0,3.9999,4.0353
9902.819409,-0.0007,0.0001,113.464,130.076,0,3.9999,4.0355
9905.367555,-0.000354166666667,0.0001,113.485,130.053,0,3.9999,4.0353
9907.862697,-0.00025,0.0001,113.552,130.036,0,3.9999,4.0354
9910.317838,0.000891666666667,0.0001,113.59,130.014,0,3.9999,4.0354
9912.774978,3.33333333333e-05,0.0001,113.646,129.993,0,3.9999,4.0354
9915.234119,-0.0008625,0.0001,113.686,129.969,0,3.9999,4.0354
9917.69326,-0.000370833333333,0.0001,113.739,129.941,0,3.9999,4.0354
9920.1504,-2.91666666667e-05,0.0001,113.791,129.928,0,3.9999,4.0354
9922.608541,0.000633333333333,0.0001,113.83,129.91,0,3.9999,4.0354
9925.071682,0.000129166666667,0.0001,113.882,129.895,0,3.9999,4.0353
9927.527822,-0.00055,0.0001,113.918,129.868,0,3.9999,4.0354
9929.980962,0.00140833333333,0.0001,113.976,129.841,0,3.9999,4.0354
9932.440103,-0.0009,0.0001,114.006,129.83,0,3.9999,4.0354
9934.897244,-0.0003375,0.0001,114.076,129.818,0,3.9999,4.0355
9937.355384,0.001875,0.0001,114.098,129.804,0,3.9999,4.0354
